ingredient,category,reason
vanilla-an-artificial-flavor,Unknown,Not found in rulebook
romaine-hearts,Unknown,Not found in rulebook
caramelised-sugar-syrup,Unknown,Not found in rulebook
vegetable-oil-and-fat,Unknown,Not found in rulebook
de:nur-sorte-schoko,Unknown,Not found in rulebook
thickener,Unknown,Not found in rulebook
papain,Unknown,Not found in rulebook
oat-bran,Unknown,Not found in rulebook
cerelose,Unknown,Not found in rulebook
sesame-paste,Unknown,Not found in rulebook
e170,Unknown,Not found in rulebook
e951,Unknown,Not found in rulebook
salt,Unknown,Not found in rulebook
e420,Unknown,Not found in rulebook
calcium-pantothenate,Unknown,Not found in rulebook
kalettes,Unknown,Not found in rulebook
sugar-flavor,Unknown,Not found in rulebook
less-than-2-of,Unknown,Not found in rulebook
balsamic-vinegar,Unknown,Not found in rulebook
de:süßungsmittel-natriumsaccharin,Unknown,Not found in rulebook
e340,Unknown,Not found in rulebook
white-grape-juice-from-concentrate,Unknown,Not found in rulebook
mango-juice,Unknown,Not found in rulebook
pink-grapefruit,Unknown,Not found in rulebook
wheat-germ,Unknown,Not found in rulebook
fr:arome-naturel-d-abricot-produits-issus-de-ragricu-ture-fabriques-dans-un-ateler-uti,Unknown,Not found in rulebook
caramel-syrup,Unknown,Not found in rulebook
coconut-oil,Unknown,Not found in rulebook
e967,Unknown,Not found in rulebook
teacher-s-blended-scotch-whisky,Unknown,Not found in rulebook
